m	mean_eff	sd_bot_eff	sd_top_eff	mean_random	sd_bot_random	sd_top_random	mean_large	sd_bot_large	sd_top_large	mean_leverage	sd_bot_leverage	sd_top_leverage	mean_sum	sd_bot_sum	sd_top_sum	mean_true_displace	sd_bot_true_displace	sd_top_true_displace	
1.700000000000000e+01	4.650609628123691e-01	4.342939557639376e-01	4.958314715228110e-01	4.530579786934990e-01	2.028375392361546e-01	7.032024260510128e-01	7.054927916824489e-01	5.312347210979066e-01	8.798765807674226e-01	6.478820245999228e-01	4.661135354298398e-01	8.296232100179305e-01	6.411851331551013e-01	5.662704994558025e-01	7.161017535722390e-01	3.813570385124681e-02	1.815297324020951e-02	5.811786875664046e-02	
1.800000000000000e+01	4.657974993674328e-01	4.353666969799679e-01	4.962343251772746e-01	4.411112577919786e-01	1.986943995459701e-01	6.834448361175453e-01	7.067224225436290e-01	5.348404838784360e-01	8.781883096492218e-01	6.583149060802571e-01	4.721694764966022e-01	8.444639604158243e-01	6.331621488200984e-01	5.598726003686929e-01	7.064740780263832e-01	3.777662847455230e-02	1.807741346561611e-02	5.746810724777817e-02	
1.900000000000000e+01	4.624168925352861e-01	4.322942025929691e-01	4.925426605371331e-01	4.303535039624520e-01	1.937308779342567e-01	6.668433591990131e-01	7.131135443734480e-01	5.442966200924377e-01	8.821433761472700e-01	6.728767880709551e-01	4.808093755206557e-01	8.647302549784296e-01	6.282558734436797e-01	5.586073228077678e-01	6.978990091926389e-01	3.761234648932287e-02	1.767276903919152e-02	5.754165086268509e-02	
2.000000000000000e+01	4.576671594250732e-01	4.276329472415256e-01	4.876987494622746e-01	4.148985414326237e-01	1.887727047683079e-01	6.409792480969839e-01	7.210365966515551e-01	5.540731866128992e-01	8.878555596455766e-01	6.852882564993816e-01	4.888186669230890e-01	8.818365468269255e-01	6.216489798963315e-01	5.550091096163503e-01	6.883118797736655e-01	3.787708175517201e-02	1.792591379288320e-02	5.781914824385791e-02	
2.100000000000000e+01	4.595050696805134e-01	4.297478255819140e-01	4.892496661241300e-01	4.063562079015238e-01	1.818148119778670e-01	6.305557576889222e-01	7.228525757813995e-01	5.603929616139920e-01	8.852289645418288e-01	6.996034571173277e-01	5.052824407397123e-01	8.941161184366629e-01	6.171658230908320e-01	5.539067435287029e-01	6.803273661107818e-01	3.818970271151246e-02	1.791630705658271e-02	5.845506781715288e-02	
2.200000000000000e+01	4.547498248882627e-01	4.253591688264106e-01	4.841518994951942e-01	3.958681965505168e-01	1.827961563476651e-01	6.089659099164041e-01	7.219489358192194e-01	5.669487795420364e-01	8.769638162814218e-01	7.072196215119325e-01	5.146364964048362e-01	8.997650487399136e-01	6.109726089846488e-01	5.517875045356850e-01	6.701104096142145e-01	3.753181790731917e-02	1.779836715828708e-02	5.725210597215304e-02	
2.300000000000000e+01	4.507889621902719e-01	4.213979297517184e-01	4.801695806357515e-01	3.929624857365374e-01	1.807999144314886e-01	6.051255371969244e-01	7.242075995145898e-01	5.758426887931706e-01	8.727297206893809e-01	7.234133372096276e-01	5.327497815090330e-01	9.138193544921093e-01	6.065443214114894e-01	5.502536724445918e-01	6.628392491471127e-01	3.797408766192090e-02	1.814435085780838e-02	5.780364801851844e-02	
2.400000000000000e+01	4.522928018324289e-01	4.229950143582645e-01	4.815854781773846e-01	3.818856134921231e-01	1.717079777980807e-01	5.919576335481747e-01	7.254314071171778e-01	5.861340472520414e-01	8.645998121654753e-01	7.329930525352528e-01	5.391609518522181e-01	9.268056837670565e-01	6.036335438264652e-01	5.490936921661547e-01	6.581960017223576e-01	3.786860781294738e-02	1.786096143953171e-02	5.787134871028815e-02	
2.500000000000000e+01	4.478942123508711e-01	4.184473651511192e-01	4.773392465271700e-01	3.689025972562177e-01	1.677030163890243e-01	5.699825730837136e-01	7.303706653794707e-01	5.956381274926908e-01	8.651043055952760e-01	7.458866098943672e-01	5.561418378224195e-01	9.354935084073567e-01	6.005769117735617e-01	5.487866235898100e-01	6.523506929068371e-01	3.785902159648279e-02	1.756355399449213e-02	5.813187667003927e-02	
2.600000000000000e+01	4.497009078877565e-01	4.202591906280220e-01	4.791341528397553e-01	3.676685814666831e-01	1.642935341574022e-01	5.710716562953052e-01	7.277197529332423e-01	5.980014665808373e-01	8.573677903606893e-01	7.593042244998013e-01	5.701516281413949e-01	9.480203552529721e-01	5.973771850107555e-01	5.479837738717056e-01	6.467750707005095e-01	3.807438752459534e-02	1.773157179445713e-02	5.841471384936153e-02	
2.700000000000000e+01	4.456630728584118e-01	4.170776804864921e-01	4.742461433285847e-01	3.615025150717753e-01	1.637980798549205e-01	5.590285277469565e-01	7.317823982616859e-01	6.057010182908272e-01	8.578891375275098e-01	7.718045484562016e-01	5.806711720439366e-01	9.629439620841987e-01	5.940864225856639e-01	5.465987980429204e-01	6.415734082165155e-01	3.785341423924426e-02	1.767474086767650e-02	5.804339644272372e-02	
2.800000000000000e+01	4.409770529053358e-01	4.121414512482940e-01	4.698008703259910e-01	3.508231974903173e-01	1.604547654731855e-01	5.411425411687987e-01	7.320848527970018e-01	6.116368048324130e-01	8.525281996039096e-01	7.850799729470941e-01	5.975079940535785e-01	9.731037249261930e-01	5.913204476412942e-01	5.441512600565559e-01	6.384928292737699e-01	3.800602459068168e-02	1.776660446220954e-02	5.826265910897178e-02	
2.900000000000000e+01	4.427051278776440e-01	4.139069053715485e-01	4.714995185176753e-01	3.434468123039623e-01	1.572683807603956e-01	5.296477107105539e-01	7.287376317166393e-01	6.139021959791316e-01	8.435212732435746e-01	7.879459522134327e-01	6.044551038246093e-01	9.713804223943470e-01	5.886001476106523e-01	5.436269316376408e-01	6.335596732892743e-01	3.830506370586786e-02	1.810621222920640e-02	5.849756472793964e-02	
3.000000000000000e+01	4.438837358106216e-01	4.152184408394373e-01	4.725726254632805e-01	3.390442500255347e-01	1.538274691610533e-01	5.243718888500128e-01	7.313788730219274e-01	6.237508957570270e-01	8.390055135009455e-01	7.991612585025071e-01	6.216538187903997e-01	9.767944546116052e-01	5.863872064542838e-01	5.432294284739455e-01	6.294768571712769e-01	3.798930771064312e-02	1.812864934067303e-02	5.784387196485150e-02	
3.100000000000000e+01	4.397975008581675e-01	4.114095845817144e-01	4.681921912024347e-01	3.341385861114680e-01	1.533670519958366e-01	5.146172925953691e-01	7.299307507887511e-01	6.231614149865515e-01	8.367406102501004e-01	8.110800232226093e-01	6.334525962996083e-01	9.884960410090571e-01	5.841146542203932e-01	5.419893579206915e-01	6.262582179105428e-01	3.771960703794403e-02	1.795588745236014e-02	5.747389963094350e-02	
3.200000000000000e+01	4.418861984322188e-01	4.138165212679412e-01	4.699658617113400e-01	3.280833204014507e-01	1.460882305384300e-01	5.099361466159367e-01	7.267722856236255e-01	6.267107075199237e-01	8.267880281976043e-01	8.155798333162221e-01	6.393761957282498e-01	9.918362290777738e-01	5.832473552159316e-01	5.420435019638780e-01	6.244620514958172e-01	3.784390396560215e-02	1.761285367306809e-02	5.808741563605548e-02	
3.300000000000000e+01	4.374682580251437e-01	4.090199546269303e-01	4.659084532506564e-01	3.208903508652822e-01	1.478238797659404e-01	4.938136428275967e-01	7.305949288053675e-01	6.303133359449534e-01	8.309129571700944e-01	8.257039550327032e-01	6.510388085835299e-01	1.000573637094991e+00	5.811872291440900e-01	5.408409307960849e-01	6.215308989992784e-01	3.755636907585100e-02	1.757691418539521e-02	5.754244109115933e-02	
3.400000000000000e+01	4.337398654699352e-01	4.053910659612893e-01	4.620989316054402e-01	3.176330933065425e-01	1.461359773392168e-01	4.889544326379289e-01	7.299510285107621e-01	6.357349661941056e-01	8.241904875956718e-01	8.294086087349182e-01	6.579661103319435e-01	1.000826196789021e+00	5.797123028464823e-01	5.400616077929723e-01	6.193662233107161e-01	3.796055992814079e-02	1.763749711827472e-02	5.827612760507470e-02	
3.500000000000000e+01	4.349359133299686e-01	4.063489748418232e-01	4.634941434808939e-01	3.106530253867599e-01	1.443922010093149e-01	4.768394269055684e-01	7.291130106470488e-01	6.353478877242358e-01	8.229050058548639e-01	8.381355836110644e-01	6.675123297159774e-01	1.008756778042658e+00	5.781390214345753e-01	5.387945345300907e-01	6.174846635431419e-01	3.803391643429904e-02	1.828767322603293e-02	5.779571584356914e-02	
3.600000000000000e+01	4.307489348161614e-01	4.024214614819807e-01	4.590687927185005e-01	3.090341345665118e-01	1.398307587855028e-01	4.778645371534266e-01	7.245229066275609e-01	6.360438847555325e-01	8.129539892357566e-01	8.418669820604650e-01	6.736289292432103e-01	1.010010202211872e+00	5.758405499791789e-01	5.376744279846254e-01	6.139697439880523e-01	3.822202955852286e-02	1.781026906976439e-02	5.861536307494730e-02	
3.700000000000000e+01	4.268750987973514e-01	3.987081113949004e-01	4.550352666808768e-01	3.068959370853588e-01	1.433914672505082e-01	4.704132152714691e-01	7.278552030594559e-01	6.404126528209753e-01	8.151845973683280e-01	8.424822035142379e-01	6.814003102334658e-01	1.003560735759205e+00	5.750045418727474e-01	5.370853552191390e-01	6.129347554237392e-01	3.828187482929450e-02	1.829818784844465e-02	5.825480346306416e-02	
3.800000000000000e+01	4.282429508229442e-01	4.004973133602742e-01	4.559966191851513e-01	3.031810773372488e-01	1.385239426457624e-01	4.676992870294920e-01	7.291710914658723e-01	6.434880982272366e-01	8.148640382559058e-01	8.497578754677885e-01	6.933897706660209e-01	1.005942501960336e+00	5.731397709102668e-01	5.356686356428829e-01	6.105928453944163e-01	3.803098570637482e-02	1.781179343230425e-02	5.824808792411706e-02	
3.900000000000000e+01	4.290989500424002e-01	4.010775345880069e-01	4.571108681725434e-01	2.950285570295237e-01	1.368907363249475e-01	4.532121866709870e-01	7.277070724766441e-01	6.452491017090152e-01	8.101351358325592e-01	8.481152671958493e-01	6.947593419966815e-01	1.001496761737679e+00	5.717826568975064e-01	5.348296417527334e-01	6.087261190562731e-01	3.836179554911461e-02	1.836365622174997e-02	5.835536932865340e-02	
4.000000000000000e+01	4.250432715135644e-01	3.969642132814741e-01	4.531193378779402e-01	2.927658525091973e-01	1.346063018730036e-01	4.509814152740408e-01	7.286821028332581e-01	6.476315983972235e-01	8.097294045960020e-01	8.496098174329574e-01	6.995498103915057e-01	9.996544293075266e-01	5.706723298019981e-01	5.342810910463407e-01	6.070637810834827e-01	3.806025748416095e-02	1.795236791339700e-02	5.817687105965898e-02	
4.100000000000000e+01	4.276282293137277e-01	4.003434436910430e-01	4.549137340459486e-01	2.878933018502708e-01	1.317644873314087e-01	4.435243003961271e-01	7.263314154373696e-01	6.506049095243857e-01	8.020449532147954e-01	8.508237205746911e-01	7.089836504503509e-01	9.925693507188750e-01	5.691469812289534e-01	5.331458565303906e-01	6.051473071216567e-01	3.789757226973715e-02	1.772807627123627e-02	5.804764765012785e-02	
